         StartTime           LastTime        Dur   TotBytes  TotPkts     SrcBytes     DstBytes         Rate 
   15:00:15.869887    15:00:15.869887   0.000000         74        1           74            0     0.000000
   15:00:16.118952    15:00:16.118952   0.000000         74        1           74            0     0.000000
   15:00:16.130277    15:00:16.130277   0.000000         74        1           74            0     0.000000
   15:00:16.149036    15:00:16.156320   0.007284        194        2           89          105   137.287201
   15:00:16.215764    15:00:16.311182   0.095418       1375       11          636          739   104.802032
   15:00:16.663929    15:00:16.747267   0.083338        288        4          132          156    35.997986
   15:00:16.819578    15:00:16.823400   0.003822        334        2           71          263   261.643127
   15:00:16.863606    15:00:17.300313   0.436707       7813       20         1351         6462    43.507431
   15:00:16.863750    15:00:17.342341   0.478591      21079       55         3450        17629   112.831207
   15:00:16.863878    15:00:17.299981   0.436103       7813       20         1351         6462    43.567692
   15:00:17.012989    15:00:17.012989   0.000000         74        1           74            0     0.000000
   15:00:17.609774    15:00:17.861279   0.251505        342        4          171          171    11.928193
   15:00:17.617149    15:00:17.617149   0.000000         74        1           74            0     0.000000
   15:00:17.668231    15:00:17.668231   0.000000         74        1           74            0     0.000000
   15:00:17.689833    15:00:17.689833   0.000000         74        1           74            0     0.000000
   15:00:17.715147    15:00:17.715147   0.000000         74        1           74            0     0.000000
   15:00:17.727009    15:00:17.733866   0.006857        184        2           84          100   145.836380
   15:00:17.777183    15:00:17.777183   0.000000         74        1           74            0     0.000000
   15:00:17.777268    15:00:20.771076   2.993808        222        3          222            0     0.668046
   15:00:17.883060    15:00:21.109748   3.226688      34805       42         1790        33015    12.706528
   15:00:17.984976    15:00:17.985195   0.000219        160        2           72           88  4566.209961
   15:00:18.023687    15:00:18.023687   0.000000         90        1           90            0     0.000000
   15:00:18.300990    15:00:18.314010   0.013020        182        2           75          107    76.804916
   15:00:18.335378    15:00:21.328820   2.993442        222        3          222            0     0.668127
   15:00:18.354853    15:00:18.358631   0.003778        174        2           79           95   264.690308
   15:00:18.354909    15:00:18.358502   0.003593        208        2           79          129   278.318970
   15:00:18.400942    15:00:18.400942   0.000000         74        1           74            0     0.000000
   15:00:18.401191    15:00:23.086848   4.685657      54022       73        11731        42291    15.366041
   15:00:18.401256    15:00:21.639240   3.237984      17388       31        11133         6255     9.265024
   15:00:18.413421    15:00:20.465597   2.052176        412        4          412            0     1.461863
   15:00:18.606588    15:00:19.520704   0.914116       7381       19         1391         5990    19.691154
   15:00:18.693017    15:00:18.693017   0.000000         74        1           74            0     0.000000
   15:00:18.713053    15:00:18.713089   0.000036         98        2           56           42 27777.777344
   15:00:18.812635    15:00:18.812635   0.000000         74        1           74            0     0.000000
   15:00:18.895306    15:00:18.895306   0.000000         90        1           90            0     0.000000
   15:00:18.950562    15:00:22.337230   3.386668     549619      727        39021       510598   214.369995
   15:00:18.958809    15:00:21.961095   3.002286        222        3          222            0     0.666159
   15:00:19.049836    15:00:19.049836   0.000000         74        1           74            0     0.000000
   15:00:19.253831    15:00:24.035577   4.781746     155355      157         9146       146209    32.624065
   15:00:19.141768    15:00:19.142095   0.000327        356        2           82          274  3058.104004
   15:00:19.170338    15:00:19.170338   0.000000         74        1           74            0     0.000000
   15:00:19.180105    15:00:19.825033   0.644928       5978       26         3243         2735    38.764019
   15:00:19.409058    15:00:19.409058   0.000000         74        1           74            0     0.000000
   15:00:19.417942    15:00:19.417942   0.000000         74        1           74            0     0.000000
   15:00:19.452248    15:00:19.452248   0.000000         90        1           90            0     0.000000
   15:00:19.452324    15:00:19.452324   0.000000         90        1           90            0     0.000000
   15:00:19.452357    15:00:19.452357   0.000000         90        1           90            0     0.000000
   15:00:19.452388    15:00:19.452388   0.000000         90        1           90            0     0.000000
   15:00:19.461718    15:00:19.461718   0.000000         90        1           90            0     0.000000
   15:00:19.461750    15:00:19.461750   0.000000         90        1           90            0     0.000000
   15:00:19.491037    15:00:19.491037   0.000000         74        1           74            0     0.000000
   15:00:19.547433    15:00:19.547433   0.000000         74        1           74            0     0.000000
   15:00:19.639196    15:00:23.663288   4.024092       6460        5         6460            0     0.994013
   15:00:19.692003    15:00:19.692003   0.000000         74        1           74            0     0.000000
   15:00:19.747923    15:00:19.747923   0.000000         74        1           74            0     0.000000
   15:00:19.847047    15:00:19.863711   0.016664        364        2           78          286    60.009602
   15:00:19.847211    15:00:19.847211   0.000000         74        1           74            0     0.000000
   15:00:19.852758    15:00:19.863870   0.011112        213        2           78          135    89.992805
   15:00:19.908523    15:00:24.682380   4.773857      38014       53        36428         1586    10.892659
   15:00:19.930861    15:00:19.930861   0.000000         74        1           74            0     0.000000
   15:00:19.945138    15:00:20.970025   1.024887      12165       44         3249         8916    41.955845
   15:00:19.945390    15:00:19.998838   0.053448        204        3          130           74    37.419548
   15:00:19.965324    15:00:19.965749   0.000425        364        2           78          286  2352.941162
   15:00:19.968090    15:00:19.968488   0.000398        364        2           78          286  2512.562744
   15:00:19.977300    15:00:22.980296   3.002996        222        3          222            0     0.666002
   15:00:19.983058    15:00:22.980360   2.997302        222        3          222            0     0.667267
   15:00:20.011341    15:00:20.011678   0.000337        184        2           84          100  2967.358887
   15:00:20.049711    15:00:20.049711   0.000000         74        1           74            0     0.000000
   15:00:20.070325    15:00:20.657513   0.587188       9636       33         2502         7134    54.497025
   15:00:20.166752    15:00:21.008038   0.841286       1998       15         1168          830    16.641190
   15:00:20.221336    15:00:20.221336   0.000000         90        1           90            0     0.000000
   15:00:20.350287    15:00:20.350287   0.000000         74        1           74            0     0.000000
   15:00:20.406653    15:00:23.558645   3.151992      36299       54         3566        32733    16.814762
   15:00:20.406758    15:00:25.380832   4.974074     544400      661        27691       516709   132.688019
   15:00:20.409491    15:00:20.423278   0.013787        213        2           81          132    72.532097
   15:00:20.525151    15:00:23.530626   3.005475        222        3          222            0     0.665452
   15:00:20.532642    15:00:20.532642   0.000000         74        1           74            0     0.000000
   15:00:20.532738    15:00:20.532738   0.000000         74        1           74            0     0.000000
   15:00:20.673892    15:00:20.673892   0.000000         74        1           74            0     0.000000
   15:00:20.692842    15:00:25.661845   4.969003        196        4          112           84     0.603743
   15:00:20.755355    15:00:20.755355   0.000000         74        1           74            0     0.000000
   15:00:20.849537    15:00:21.441138   0.591601      10034       15          762         9272    23.664598
   15:00:20.930801    15:00:20.930801   0.000000         90        1           90            0     0.000000
   15:00:20.930844    15:00:20.930844   0.000000         90        1           90            0     0.000000
   15:00:20.930914    15:00:20.930914   0.000000         90        1           90            0     0.000000
   15:00:20.930961    15:00:20.930961   0.000000         90        1           90            0     0.000000
   15:00:20.931006    15:00:20.931006   0.000000         90        1           90            0     0.000000
   15:00:20.931051    15:00:20.931051   0.000000         90        1           90            0     0.000000
