frame.number,frame.time_epoch,tcp.analysis.ack_rtt,ip.src,ip.dst
"1343","1757509719.980083000","0.000027000","196.42.104.243","196.24.45.81"
"1344","1757509719.981385000","0.017979000","196.24.45.75","196.42.104.243"
"1347","1757509719.981496000","0.000040000","196.42.104.243","196.24.45.81"
"1350","1757509720.021902000","0.040517000","196.42.104.243","196.24.45.75"
"1352","1757509720.025783000","0.000027000","196.42.104.243","162.159.135.234"
"1358","1757509720.322585000","0.000048000","196.42.104.243","52.108.54.3"
"1359","1757509720.322604000","0.000067000","196.42.104.243","52.108.54.3"
"1377","1757509721.449935000","0.000125000","196.42.104.243","52.108.54.3"
"1401","1757509722.167887000","0.356409000","52.108.36.35","196.42.104.243"
"1403","1757509722.167923000","0.000036000","196.42.104.243","52.108.36.35"
"1453","1757509724.967045000","0.002351000","196.24.45.75","196.42.104.243"
"1454","1757509724.967614000","0.002890000","196.24.45.75","196.42.104.243"
"1510","1757509726.840442000","0.017837000","52.108.9.12","196.42.104.243"
"1512","1757509726.841139000","0.017377000","52.108.9.12","196.42.104.243"
"1515","1757509726.873551000","0.000084000","196.42.104.243","52.108.9.12"
"1516","1757509726.873588000","0.000120000","196.42.104.243","52.108.9.12"
"1522","1757509727.184189000","0.359932000","52.108.36.35","196.42.104.243"
"1523","1757509727.184190000","0.359072000","52.108.36.35","196.42.104.243"
"1525","1757509727.184316000","0.000126000","196.42.104.243","52.108.36.35"
"1547","1757509728.315939000","0.000499000","196.42.104.243","104.18.39.21"
"1548","1757509728.317548000","0.001609000","104.18.39.21","196.42.104.243"
"1559","1757509728.720094000","0.000173000","196.42.104.243","104.18.39.21"
"1560","1757509728.721872000","0.001778000","104.18.39.21","196.42.104.243"
"1572","1757509729.151212000","0.306620000","52.108.36.35","196.42.104.243"
"1573","1757509729.151314000","0.305974000","52.108.36.35","196.42.104.243"
"1575","1757509729.155129000","0.000043000","196.42.104.243","52.108.36.35"
"1590","1757509729.917655000","0.000518000","196.42.104.243","104.18.39.21"
"1591","1757509729.919253000","0.001598000","104.18.39.21","196.42.104.243"
