frame.time_epoch,tcp.analysis.ack_rtt,ip.src,ip.dst
"1757710193.091813452","0.000468901","196.42.104.243","87.248.114.12"
"1757710193.106693415","0.149966950","87.248.114.12","196.42.104.243"
"1757710193.106693841","0.149687133","87.248.114.12","196.42.104.243"
"1757710193.107190710","0.000496842","196.42.104.243","87.248.114.12"
"1757710193.191096602","0.004735585","196.42.104.243","87.248.114.12"
"1757710193.267629728","0.000156752","196.42.104.243","87.248.114.12"
"1757710193.268213986","0.000025456","196.42.104.243","87.248.114.12"
"1757710193.282041980","0.190228528","87.248.114.12","196.42.104.243"
"1757710193.340627044","0.149530442","87.248.114.12","196.42.104.243"
"1757710193.443568114","0.001182748","196.42.104.243","87.248.114.12"
"1757710193.595048625","0.149531219","87.248.114.12","196.42.104.243"
"1757710193.709116760","0.003991525","196.42.104.243","87.248.114.12"
"1757710193.859726706","0.150609946","87.248.114.12","196.42.104.243"
"1757710193.947257670","0.041417701","196.42.104.243","87.248.114.12"
"1757710194.712745788","0.150568840","87.248.114.12","196.42.104.243"
"1757710194.712769345","0.000023557","196.42.104.243","87.248.114.12"
"1757710194.714958623","0.001353857","87.248.114.12","196.42.104.243"
"1757710194.715494897","0.153427244","87.248.114.12","196.42.104.243"
"1757710194.715541098","0.000046087","196.42.104.243","87.248.114.12"
"1757710194.867883437","0.000024188","196.42.104.243","87.248.114.12"
"1757710195.018649310","0.149971078","87.248.114.12","196.42.104.243"
"1757710195.019085003","0.000435505","196.42.104.243","87.248.114.12"
"1757710195.019869254","0.149745889","87.248.114.12","196.42.104.243"
"1757710195.352850485","0.149919695","87.248.114.11","196.42.104.243"
"1757710195.352895538","0.000045053","196.42.104.243","87.248.114.11"
"1757710195.353178835","0.150185020","87.248.114.11","196.42.104.243"
"1757710195.353199598","0.000020763","196.42.104.243","87.248.114.11"
"1757710195.353992576","0.149829478","87.248.114.11","196.42.104.243"
"1757710195.354009797","0.000017221","196.42.104.243","87.248.114.11"
"1757710195.354871485","0.150514947","87.248.114.11","196.42.104.243"
"1757710195.354882753","0.150640454","87.248.114.11","196.42.104.243"
"1757710195.354885267","0.150579750","87.248.114.11","196.42.104.243"
"1757710195.354904011","0.000032526","196.42.104.243","87.248.114.11"
"1757710195.354909594","0.000026841","196.42.104.243","87.248.114.11"
"1757710195.354917240","0.000031973","196.42.104.243","87.248.114.11"
"1757710195.355456082","0.001842415","87.248.114.11","196.42.104.243"
"1757710195.356041379","0.001839210","87.248.114.11","196.42.104.243"
"1757710195.357257727","0.002497711","87.248.114.11","196.42.104.243"
"1757710195.357507127","0.002098386","87.248.114.11","196.42.104.243"
"1757710195.357574442","0.001651158","87.248.114.11","196.42.104.243"
"1757710195.357582199","0.001900290","87.248.114.11","196.42.104.243"
"1757710195.505988530","0.000027281","196.42.104.243","87.248.114.11"
"1757710195.506002238","0.000040818","196.42.104.243","87.248.114.11"
"1757710195.508288346","0.000017798","196.42.104.243","87.248.114.11"
