StartTime,LastTime,SrcAddr,DstAddr,Sport,Dport,Proto,TcpRtt
22:49:55.204242,22:49:55.818247,196.42.104.243,87.248.114.11,43410,443,tcp,0.150667
22:49:55.204305,22:49:55.818246,196.42.104.243,87.248.114.11,43420,443,tcp,0.150612
22:49:55.204356,22:49:55.818167,196.42.104.243,87.248.114.11,43436,443,tcp,0.150548
22:49:55.925812,22:50:00.616884,196.42.104.243,87.248.114.12,49358,443,tcp,0.165533
22:49:56.070621,22:49:56.746380,196.42.104.243,87.248.114.12,56414,443,tcp,0.149861
22:49:56.673975,22:50:00.996955,196.42.104.243,87.248.114.12,56422,443,tcp,0.149812
22:49:56.674819,22:49:57.281642,196.42.104.243,87.248.114.12,56424,443,tcp,0.150555
22:49:58.268906,22:50:01.503518,196.42.104.243,87.248.114.12,56436,443,tcp,0.149721
22:50:00.442911,22:50:01.051544,196.42.104.243,87.248.114.12,56440,443,tcp,0.150908
22:50:03.887924,22:50:04.650630,196.42.104.243,87.248.114.12,56450,443,tcp,0.208223
22:50:03.888149,22:50:08.561007,196.42.104.243,87.248.114.12,49358,443,tcp,0.165533
22:50:04.647842,22:50:05.256046,196.42.104.243,87.248.114.12,45390,443,tcp,0.151471
22:50:04.648122,22:50:05.110721,196.42.104.243,87.248.114.12,45406,443,tcp,0.151171
22:50:04.685843,22:50:04.860210,196.42.104.243,87.248.114.12,56422,443,tcp,0.149812
22:50:06.762421,22:50:07.368939,196.42.104.243,87.248.114.12,45414,443,tcp,0.150053
22:50:06.763351,22:50:07.380572,196.42.104.243,87.248.114.11,44092,443,tcp,0.150328
22:50:07.013858,22:50:07.617322,196.42.104.243,87.248.114.12,45426,443,tcp,0.149771
22:50:07.014251,22:50:07.621459,196.42.104.243,87.248.114.12,45436,443,tcp,0.149892
22:50:07.060253,22:50:07.264743,196.42.104.243,87.248.114.11,43390,443,tcp,0.149965
22:50:08.133349,22:50:08.590365,196.42.104.243,87.248.114.12,45444,443,tcp,0.149877
22:50:08.242107,22:50:08.846272,196.42.104.243,87.248.114.12,45448,443,tcp,0.149818
22:50:08.242475,22:50:08.704445,196.42.104.243,87.248.114.12,45450,443,tcp,0.149946
22:50:09.162669,22:50:13.276621,196.42.104.243,87.248.114.12,49358,443,tcp,0.165533
22:50:09.223609,22:50:09.832784,196.42.104.243,87.248.114.11,44096,443,tcp,0.149781
22:50:09.225052,22:50:09.832410,196.42.104.243,87.248.114.11,44104,443,tcp,0.149859
22:50:09.759833,22:50:10.216786,196.42.104.243,87.248.114.12,45466,443,tcp,0.150848
22:50:09.760075,22:50:10.219977,196.42.104.243,87.248.114.12,45472,443,tcp,0.150638
22:50:11.329432,22:50:12.024437,196.42.104.243,87.248.114.12,45482,443,tcp,0.236659
22:50:13.099558,22:50:13.716889,196.42.104.243,87.248.114.12,45494,443,tcp,0.149718
22:50:15.126857,22:50:15.277317,196.42.104.243,87.248.114.11,60548,443,tcp,0.150752
22:50:15.349826,22:50:15.953554,196.42.104.243,87.248.114.12,34312,443,tcp,0.149713
22:50:15.350097,22:50:20.254788,196.42.104.243,87.248.114.12,49358,443,tcp,0.165533
22:50:16.404784,22:50:16.581905,196.42.104.243,87.248.114.12,56422,443,tcp,0.149812
