1713016805.672193000	71.18.46.243	10.30.222.137	86360	1
1713016805.672294000	71.18.46.243	10.30.222.137	126560	1
1713016805.741122000	71.18.46.243	10.30.222.137	125220	1
1713016805.754081000	71.18.46.243	10.30.222.137	156040	1
1713016805.758283000	41.169.98.17	10.30.222.137	1086348	1
1713016805.761683000	102.132.115.163	10.30.228.173	138001	1
1713016805.800116000	41.169.98.17	10.30.222.137	1132056	1
1713016805.802869000	71.18.46.243	10.30.222.137	164080	1
1713016805.813012000	71.18.46.243	10.30.222.137	169440	1
1713016805.814724000	71.18.46.243	10.30.222.137	170780	1
1713016805.814944000	71.18.46.243	10.30.222.137	172120	1
1713016805.818160000	71.18.46.243	10.30.222.137	174800	1
1713016805.818413000	41.169.98.17	10.30.222.137	1140336	1
1713016805.818990000	41.169.98.17	10.30.222.137	1151376	1
1713016805.820008000	71.18.46.243	10.30.222.137	177480	1
1713016805.821493000	71.18.46.243	10.30.222.137	178820	1
1713016805.821593000	71.18.46.243	10.30.222.137	180160	1
1713016805.826243000	71.18.46.243	10.30.222.137	182840	1
1713016805.830069000	71.18.46.243	10.30.222.137	188200	1
1713016805.831743000	71.18.46.243	10.30.222.137	189540	1
1713016805.831846000	71.18.46.243	10.30.222.137	190880	1
1713016805.842398000	71.18.46.243	10.30.222.137	193560	1
1713016805.843276000	71.18.46.243	10.30.222.137	145320	1
1713016805.844647000	41.169.98.17	10.30.222.137	1162416	1
1713016805.848341000	71.18.46.243	10.30.222.137	152020	1
1713016805.848537000	71.18.46.243	10.30.222.137	153360	1
1713016805.849199000	41.169.98.17	10.30.222.137	1169316	1
1713016805.851772000	71.18.46.243	10.30.222.137	157380	1
1713016805.851893000	71.18.46.243	10.30.222.137	158720	1
1713016805.855189000	71.18.46.243	10.30.222.137	160060	1
1713016805.855394000	71.18.46.243	10.30.222.137	161400	1
1713016805.855492000	41.169.98.17	10.30.222.137	1174836	1
1713016805.858649000	71.18.46.243	10.30.222.137	194900	1
1713016805.858752000	41.169.98.17	10.30.222.137	1178976	1
1713016805.865249000	71.18.46.243	10.30.222.137	200260	1
1713016805.866106000	71.18.46.243	10.30.222.137	201600	1
1713016805.866363000	71.18.46.243	10.30.222.137	202940	1
1713016805.869527000	71.18.46.243	10.30.222.137	205620	1
1713016805.873299000	41.169.98.17	10.30.222.137	1190016	1
1713016805.918690000	71.18.46.243	10.30.222.137	146660	1
1713016805.922153000	71.18.46.243	10.30.222.137	212320	1
1713016805.925571000	71.18.46.243	10.30.222.137	198920	1
1713016805.930007000	41.169.98.17	10.30.222.137	1170696	1
1713016805.933154000	41.169.98.17	10.30.222.137	1172076	1
1713016805.934093000	71.18.46.243	10.30.222.137	206960	1
1713016805.936435000	41.169.98.17	10.30.222.137	1198842	1
1713016805.937516000	71.18.46.243	10.30.222.137	216340	1
1713016805.939214000	71.18.46.243	10.30.222.137	219020	1
1713016805.944563000	41.169.98.17	10.30.222.137	1204362	1
1713016805.946180000	41.169.98.17	10.30.222.137	1207122	1
1713016805.972069000	41.169.98.17	10.30.222.137	1223682	1
1713016805.973675000	41.169.98.17	10.30.222.137	1225062	1
1713016805.978475000	41.169.98.17	10.30.222.137	1230582	1
1713016805.990359000	71.18.46.243	10.30.222.137	148000	1
1713016805.993306000	41.169.98.17	10.30.222.137	1166556	1
1713016805.994457000	71.18.46.243	10.30.222.137	208300	1
1713016805.998346000	71.18.46.243	10.30.222.137	232420	1
1713016805.998651000	71.18.46.243	10.30.222.137	235100	1
1713016806.015679000	41.169.98.17	10.30.222.137	1254042	1
1713016806.018667000	41.169.98.17	10.30.222.137	1258182	1
1713016806.018768000	41.169.98.17	10.30.222.137	1259562	1
1713016806.021810000	71.18.46.243	10.30.222.137	243140	1
1713016806.022584000	41.169.98.17	10.30.222.137	1265082	1
1713016806.023140000	71.18.46.243	10.30.222.137	245820	1
1713016806.024515000	71.18.46.243	10.30.222.137	247160	1
1713016806.031918000	41.169.98.17	10.30.222.137	1218162	1
1713016806.032107000	71.18.46.243	10.30.222.137	257880	1
1713016806.032213000	41.169.98.17	10.30.222.137	1219542	1
1713016806.040990000	71.18.46.243	10.30.222.137	261900	1
1713016806.041176000	41.169.98.17	10.30.222.137	1270602	1
1713016806.041293000	71.18.46.243	10.30.222.137	268600	1
1713016806.041629000	71.18.46.243	10.30.222.137	184180	1
1713016806.042361000	41.169.98.17	10.30.222.137	1231962	1
1713016806.049496000	41.169.98.17	10.30.222.137	1273362	1
1713016806.049662000	71.18.46.243	10.30.222.137	271280	1
1713016806.049820000	41.169.98.17	10.30.222.137	1274742	1
1713016806.050023000	71.18.46.243	10.30.222.137	213660	1
1713016806.052214000	41.169.98.17	10.30.222.137	1277502	1
1713016806.052315000	41.169.98.17	10.30.222.137	1278882	1
1713016806.057433000	71.18.46.243	10.30.222.137	276640	1
1713016806.060596000	71.18.46.243	10.30.222.137	282000	1
1713016806.060815000	41.169.98.17	10.30.222.137	1167936	1
1713016806.061636000	41.169.98.17	10.30.222.137	1173456	1
1713016806.063564000	41.169.98.17	10.30.222.137	1176216	1
1713016806.063996000	71.18.46.243	10.30.222.137	286020	1
1713016806.073934000	41.169.98.17	10.30.222.137	1256802	1
1713016806.081527000	71.18.46.243	10.30.222.137	248500	1
1713016806.085075000	71.18.46.243	10.30.222.137	252520	1
1713016806.088506000	71.18.46.243	10.30.222.137	292720	1
1713016806.088721000	71.18.46.243	10.30.222.137	294060	1
1713016806.091417000	41.169.98.17	10.30.222.137	1267842	1
1713016806.092445000	41.169.98.17	10.30.222.137	1220922	1
1713016806.095509000	71.18.46.243	10.30.222.137	259220	1
1713016806.095796000	71.18.46.243	10.30.222.137	260560	1
1713016806.102515000	71.18.46.243	10.30.222.137	263240	1
1713016806.116705000	41.169.98.17	10.30.222.137	1226442	1
